wwtp_jurisdiction,wwtp_id,reporting_jurisdiction,sample_location,sample_location_specify,key_plot_id,county_names,county_fips,population_served,date_start,date_end,ptc_15d,detect_prop_15d,percentile,sampling_prior,first_sample_date
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-09-17,2022-10-01,,100,67.0,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-09-18,2022-10-02,,100,67.0,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-09-19,2022-10-03,85,100,68.5,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-09-20,2022-10-04,85,100,68.5,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-09-21,2022-10-05,-2,100,67.667,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-09-22,2022-10-06,-2,100,67.667,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-09-23,2022-10-07,-2,100,67.667,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-09-24,2022-10-08,-99,100,51.5,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-09-25,2022-10-09,-99,100,51.5,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-09-26,2022-10-10,-91,100,51.6,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-09-27,2022-10-11,-91,100,51.6,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-09-28,2022-10-12,-83,100,48.167,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-09-29,2022-10-13,-83,100,48.167,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-09-30,2022-10-14,-83,100,48.167,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-10-01,2022-10-15,-70,100,46.429,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-10-02,2022-10-16,-66,100,46.429,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-10-03,2022-10-17,-25,100,45.714,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-10-04,2022-10-18,63,100,45.714,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-10-05,2022-10-19,180,100,46.571,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-10-06,2022-10-20,1342,100,46.571,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-10-07,2022-10-21,1342,100,46.571,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-10-08,2022-10-22,486,100,44.286,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-10-09,2022-10-23,91,100,44.286,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-10-10,2022-10-24,198,100,56.571,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-10-11,2022-10-25,394,100,56.571,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-10-12,2022-10-26,537,100,63.143,no,2022-10-01
Pennsylvania,1533,Pennsylvania,Treatment plant,,NWSS_pa_1533_Treatment plant_raw wastewater,Centre,42027,90000,2022-10-13,2022-10-27,566,100,63.143,no,2022-10-01
